Galaxy,M_BH_MM13,M_BH_MM13_lower,M_BH_MM13_upper,Method_MM13,sigma_MM13,Morphology_MM13,M_BH_Liepold,Method_Liepold,Reference_Liepold,sigma_Veale
NGC4374,920000000.0,840000000.0,1020000000.0,gas,296.0,E,,,,
NGC4388,8800000.0,8600000.0,9000000.0,maser,107.2,S,,,,
NGC4459,70000000.0,56000000.0,83000000.0,gas,167.0,E,,,,
NGC4472,2500000000.0,2400000000.0,3100000000.0,star,300.0,E,2440000000.0,Axi. stellar orbit,Rusli et al. (2013),258
NGC4473,89000000.0,45000000.0,134000000.0,star,190.0,E,,,,
NGC4486,6200000000.0,5800000000.0,6500000000.0,star,324.0,E,5340000000.0,Tri. stellar orbit,Liepold et al. (2023),
NGC4555,,,,,,,,,,277
NGC4564,88000000.0,64000000.0,112000000.0,star,162.0,S0,,,,
NGC4594,670000000.0,630000000.0,720000000.0,star,230.0,S,,,,
NGC4596,84000000.0,59000000.0,120000000.0,gas,136.0,S0,,,,
NGC4649,4700000000.0,3700000000.0,5800000000.0,star,341.0,E,4730000000.0,Axi. stellar orbit,Shen & Gebhardt (2010),
NGC4697,200000000.0,180000000.0,220000000.0,star,177.0,E,,,,
NGC4736,6800000.0,5200000.0,8400000.0,star,112.0,S,,,,
NGC4816,,,,,,,,,,207
NGC4826,1600000.0,1200000.0,2000000.0,star,96.0,S,,,,
NGC4839,,,,,,,,,,275
NGC4874,,,,,,,,,,258
NGC4889,21000000000.0,5500000000.0,37000000000.0,star,347.0,E,20170000000.0,Axi. stellar orbit,McConnell et al. (2011),337
NGC4914,,,,,,,,,,225
NGC499,,,,,,,,,,266
NGC507,,,,,,,,,,257
NGC5077,800000000.0,470000000.0,1300000000.0,gas,222.0,E,,,,
NGC5128,59000000.0,49000000.0,70000000.0,star,150.0,S0/E,,,,
NGC5129,,,,,,,,,,222
NGC5208,,,,,,,,,,235
NGC524,860000000.0,820000000.0,960000000.0,star,235.0,S0,,,,
NGC5322,,,,,,,,Axi. stellar Jeans,Cappellari et al. (2013),239
NGC533,,,,,,,,,,258
NGC5353,,,,,,,,Axi. stellar Jeans,Cappellari et al. (2013),225
NGC545,,,,,,,,,,231
NGC547,,,,,,,,,,232
NGC5490,,,,,,,,,,282
NGC5516,4000000000.0,2900000000.0,4100000000.0,star,306.0,E,,,,
NGC5557,,,,,,,,Axi. stellar Jeans,Cappellari et al. (2013),223
NGC5576,170000000.0,130000000.0,200000000.0,star,183.0,E,,,,
NGC57,,,,,,,,Tri. stellar orbit,"J. Pilawa et al. 2024, in preparation",251
NGC5845,490000000.0,330000000.0,640000000.0,star,234.0,E,,,,
NGC6086,3800000000.0,2600000000.0,5500000000.0,star,318.0,E,,,,
NGC6223,,,,,,,,,,238
NGC6251,600000000.0,400000000.0,800000000.0,gas,290.0,E,,,,
NGC6264,30300000.0,29900000.0,30800000.0,maser,158.5,S,,,,
NGC6323,9800000.0,9700000.0,9900000.0,maser,158.5,S,,,,
NGC6375,,,,,,,,,,187
NGC6482,,,,,,,,,,291
NGC6575,,,,,,,,,,234
NGC665,,,,,,,,,,164
NGC7052,400000000.0,240000000.0,680000000.0,gas,266.0,E,,Sph. stellar Jeans,Haring & Rix (2004),266
NGC708,,,,,,,8980000000.0,Tri. stellar orbit,de Nicola et al. (2024),219
NGC7242,,,,,,,,,,283
NGC7265,,,,,,,,,,206
NGC7274,,,,,,,,,,244
NGC7386,,,,,,,,,,273
NGC741,,,,,,,,,,289
NGC7426,,,,,,,,,,219
NGC7436,,,,,,,,,,263
NGC7550,,,,,,,,,,224
NGC7556,,,,,,,,,,243
NGC7582,55000000.0,44000000.0,71000000.0,gas,156.0,S,,,,
NGC7618,,,,,,,,,,265
NGC7619,2300000000.0,2200000000.0,3500000000.0,star,313.0,E,2260000000.0,Axi. stellar orbit,Rusli et al. (2013),277
NGC7626,,,,,,,,,,250
NGC7768,1300000000.0,900000000.0,1800000000.0,star,257.0,E,,,,
NGC777,,,,,,,,,,291
NGC80,,,,,,,,,,222
NGC821,170000000.0,92000000.0,240000000.0,star,209.0,E,,,,
NGC890,,,,,,,,,,194
NGC910,,,,,,,,,,219
NGC997,,,,,,,3280000000.0,CO gas,Dominiak et al. (2024),215
U3789,10800000.0,10300000.0,11400000.0,maser,107.2,S,,,,
UGC01332,,,,,,,,,,253
UGC02783,,,,,,,,,,266
UGC03683,,,,,,,,,,257
UGC03894,,,,,,,,,,255
UGC10918,,,,,,,,,,249
