Galaxy,M_BH_MM13,M_BH_MM13_lower,M_BH_MM13_upper,Method_MM13,sigma_MM13,Morphology_MM13,M_BH_Liepold,Method_Liepold,Reference_Liepold,sigma_Veale,Source_flag_x,References_x,MBH_extra_recent,MBH_upper_ER,MBH_lower_ER,sigma_ER,sigma_upper_ER,sigma_lower_ER,Source_flag_y,References_y
NGC3377,180000000.0,85000000.0,270000000.0,star,145.0,E,,,,,MM13_original,MM13,,,,,,,,
NGC3379,420000000.0,310000000.0,520000000.0,star,206.0,E,,,,,MM13_original,MM13,,,,,,,,
NGC3384,11000000.0,5900000.0,16000000.0,star,143.0,S0,,,,,MM13_original,MM13,,,,,,,,
NGC3393,33000000.0,31000000.0,35000000.0,maser,147.9,S,,,,,MM13_original,MM13,,,,,,,,
NGC3462,,,,,,,,,,214,VP17_sigma,VP17,,,,,,,,
NGC3489,6000000.0,5100000.0,6800000.0,star,100.0,S0,,,,,MM13_original,MM13,,,,,,,,
NGC3562,,,,,,,,,,241,VP17_sigma,VP17,,,,,,,,
NGC3585,330000000.0,270000000.0,480000000.0,star,213.0,S0,,,,,MM13_original,MM13,,,,,,,,
NGC3607,140000000.0,90000000.0,180000000.0,star,229.0,E,,,,,MM13_original,MM13,,,,,,,,
NGC3608,470000000.0,370000000.0,570000000.0,star,182.0,E,,,,,MM13_original,MM13,,,,,,,,
NGC3615,,,,,,,,,,232,VP17_sigma,VP17,,,,,,,,
NGC3805,,,,,,,,,,225,VP17_sigma,VP17,,,,,,,,
NGC3816,,,,,,,,,,191,VP17_sigma,VP17,,,,,,,,
NGC383,,,,,,,,,,257,VP17_sigma,VP17,,,,,,,,
NGC3842,9700000000.0,7200000000.0,12700000000.0,star,270.0,E,8630000000.0,Axi. stellar orbit,McConnell et al. (2011),231,MM13_updated,,,,,,,,,
NGC3862,,,,,,,,,,228,VP17_sigma,VP17,,,,,,,,
NGC3937,,,,,,,,,,243,VP17_sigma,VP17,,,,,,,,
NGC3998,850000000.0,780000000.0,920000000.0,star,272.0,S0,,,,,MM13_original,MM13,,,,,,,,
NGC4026,180000000.0,150000000.0,240000000.0,star,180.0,S0,,,,,MM13_original,MM13,,,,,,,,
NGC4073,,,,,,,,,,292,VP17_sigma,VP17,,,,,,,,
NGC410,,,,,,,,,,247,VP17_sigma,VP17,,,,,,,,
NGC4258,36700000.0,36600000.0,36800000.0,maser,115.0,S,,,,,MM13_original,MM13,,,,,,,,
NGC4261,530000000.0,420000000.0,640000000.0,gas,315.0,E,,,,,MM13_original,MM13,,,,,,,,
NGC4291,980000000.0,670000000.0,1290000000.0,star,242.0,E,,,,,MM13_original,MM13,,,,,,,,
NGC4342,460000000.0,310000000.0,720000000.0,star,225.0,S0,,,,,MM13_original,MM13,,,,,,,,
NGC4374,920000000.0,840000000.0,1020000000.0,gas,296.0,E,,,,,MM13_original,MM13,,,,,,,,
NGC4388,8800000.0,8600000.0,9000000.0,maser,107.2,S,,,,,MM13_original,MM13,,,,,,,,
NGC4459,70000000.0,56000000.0,83000000.0,gas,167.0,E,,,,,MM13_original,MM13,,,,,,,,
NGC4472,2500000000.0,2400000000.0,3100000000.0,star,300.0,E,2440000000.0,Axi. stellar orbit,Rusli et al. (2013),258,MM13_updated,,,,,,,,,
NGC4473,89000000.0,45000000.0,134000000.0,star,190.0,E,,,,,MM13_original,MM13,,,,,,,,
NGC4486,6200000000.0,5800000000.0,6500000000.0,star,324.0,E,5340000000.0,Tri. stellar orbit,Liepold et al. (2023),,MM13_updated,,,,,,,,,
NGC4555,,,,,,,,,,277,VP17_sigma,VP17,,,,,,,,
NGC4564,88000000.0,64000000.0,112000000.0,star,162.0,S0,,,,,MM13_original,MM13,,,,,,,,
NGC4594,670000000.0,630000000.0,720000000.0,star,230.0,S,,,,,MM13_original,MM13,,,,,,,,
NGC4596,84000000.0,59000000.0,120000000.0,gas,136.0,S0,,,,,MM13_original,MM13,,,,,,,,
NGC4649,4700000000.0,3700000000.0,5800000000.0,star,341.0,E,4730000000.0,Axi. stellar orbit,Shen & Gebhardt (2010),,MM13_updated,,,,,,,,,
NGC4697,200000000.0,180000000.0,220000000.0,star,177.0,E,,,,,MM13_original,MM13,,,,,,,,
NGC4736,6800000.0,5200000.0,8400000.0,star,112.0,S,,,,,MM13_original,MM13,,,,,,,,
NGC4816,,,,,,,,,,207,VP17_sigma,VP17,,,,,,,,
NGC4826,1600000.0,1200000.0,2000000.0,star,96.0,S,,,,,MM13_original,MM13,,,,,,,,
NGC4839,,,,,,,,,,275,VP17_sigma,VP17,,,,,,,,
NGC4874,,,,,,,,,,258,VP17_sigma,VP17,,,,,,,,
NGC4889,21000000000.0,5500000000.0,37000000000.0,star,347.0,E,20170000000.0,Axi. stellar orbit,McConnell et al. (2011),337,MM13_updated,,,,,,,,,
NGC4914,,,,,,,,,,225,VP17_sigma,VP17,,,,,,,,
NGC499,,,,,,,,,,266,VP17_sigma,VP17,,,,,,,,
NGC507,,,,,,,,,,257,VP17_sigma,VP17,,,,,,,,
NGC5077,800000000.0,470000000.0,1300000000.0,gas,222.0,E,,,,,MM13_original,MM13,,,,,,,,
NGC5128,59000000.0,49000000.0,70000000.0,star,150.0,S0/E,,,,,MM13_original,MM13,,,,,,,,
NGC5129,,,,,,,,,,222,VP17_sigma,VP17,,,,,,,,
NGC5208,,,,,,,,,,235,VP17_sigma,VP17,,,,,,,,
NGC524,860000000.0,820000000.0,960000000.0,star,235.0,S0,,,,,MM13_original,MM13,,,,,,,,
NGC5322,,,,,,,,Axi. stellar Jeans,Cappellari et al. (2013),239,VP17_sigma,VP17,,,,,,,,
NGC533,,,,,,,,,,258,VP17_sigma,VP17,,,,,,,,
NGC5353,,,,,,,,Axi. stellar Jeans,Cappellari et al. (2013),225,VP17_sigma,VP17,,,,,,,,
NGC545,,,,,,,,,,231,VP17_sigma,VP17,,,,,,,,
NGC547,,,,,,,,,,232,VP17_sigma,VP17,,,,,,,,
NGC5490,,,,,,,,,,282,VP17_sigma,VP17,,,,,,,,
NGC5516,4000000000.0,2900000000.0,4100000000.0,star,306.0,E,,,,,MM13_original,MM13,,,,,,,,
NGC5557,,,,,,,,Axi. stellar Jeans,Cappellari et al. (2013),223,VP17_sigma,VP17,,,,,,,,
NGC5576,170000000.0,130000000.0,200000000.0,star,183.0,E,,,,,MM13_original,MM13,,,,,,,,
NGC57,,,,,,,,Tri. stellar orbit,"J. Pilawa et al. 2024, in preparation",251,VP17_sigma,VP17,,,,,,,,
NGC5845,490000000.0,330000000.0,640000000.0,star,234.0,E,,,,,MM13_original,MM13,,,,,,,,
NGC6086,3800000000.0,2600000000.0,5500000000.0,star,318.0,E,,,,,MM13_original,MM13,,,,,,,,
NGC6223,,,,,,,,,,238,VP17_sigma,VP17,,,,,,,,
NGC6251,600000000.0,400000000.0,800000000.0,gas,290.0,E,,,,,MM13_original,MM13,,,,,,,,
NGC6264,30300000.0,29900000.0,30800000.0,maser,158.5,S,,,,,MM13_original,MM13,,,,,,,,
NGC6323,9800000.0,9700000.0,9900000.0,maser,158.5,S,,,,,MM13_original,MM13,,,,,,,,
NGC6375,,,,,,,,,,187,VP17_sigma,VP17,,,,,,,,
NGC6482,,,,,,,,,,291,VP17_sigma,VP17,,,,,,,,
NGC6575,,,,,,,,,,234,VP17_sigma,VP17,,,,,,,,
NGC665,,,,,,,,,,164,VP17_sigma,VP17,,,,,,,,
NGC7052,400000000.0,240000000.0,680000000.0,gas,266.0,E,,Sph. stellar Jeans,Haring & Rix (2004),266,MM13_original,,,,,,,,,
NGC708,,,,,,,8980000000.0,Tri. stellar orbit,de Nicola et al. (2024),219,LM24_new,LM24_and_VP17,10000000000.0,12800000000.0,7200000000.0,250.0,,,extra_recent,de Nicola et al. 2024
NGC7242,,,,,,,,,,283,VP17_sigma,VP17,,,,,,,,
NGC7265,,,,,,,,,,206,VP17_sigma,VP17,,,,,,,,
NGC7274,,,,,,,,,,244,VP17_sigma,VP17,,,,,,,,
NGC7386,,,,,,,,,,273,VP17_sigma,VP17,,,,,,,,
NGC741,,,,,,,,,,289,VP17_sigma,VP17,,,,,,,,
NGC7426,,,,,,,,,,219,VP17_sigma,VP17,,,,,,,,
NGC7436,,,,,,,,,,263,VP17_sigma,VP17,,,,,,,,
NGC7550,,,,,,,,,,224,VP17_sigma,VP17,,,,,,,,
NGC7556,,,,,,,,,,243,VP17_sigma,VP17,,,,,,,,
NGC7582,55000000.0,44000000.0,71000000.0,gas,156.0,S,,,,,MM13_original,MM13,,,,,,,,
NGC7618,,,,,,,,,,265,VP17_sigma,VP17,,,,,,,,
NGC7619,2300000000.0,2200000000.0,3500000000.0,star,313.0,E,2260000000.0,Axi. stellar orbit,Rusli et al. (2013),277,MM13_updated,,,,,,,,,
NGC7626,,,,,,,,,,250,VP17_sigma,VP17,,,,,,,,
NGC7768,1300000000.0,900000000.0,1800000000.0,star,257.0,E,,,,,MM13_original,MM13,,,,,,,,
NGC777,,,,,,,,,,291,VP17_sigma,VP17,,,,,,,,
NGC80,,,,,,,,,,222,VP17_sigma,VP17,,,,,,,,
NGC821,170000000.0,92000000.0,240000000.0,star,209.0,E,,,,,MM13_original,MM13,,,,,,,,
NGC890,,,,,,,,,,194,VP17_sigma,VP17,,,,,,,,
NGC910,,,,,,,,,,219,VP17_sigma,VP17,,,,,,,,
NGC997,,,,,,,3280000000.0,CO gas,Dominiak et al. (2024),215,LM24_new,LM24_and_VP17,,,,,,,,
U3789,10800000.0,10300000.0,11400000.0,maser,107.2,S,,,,,MM13_original,MM13,,,,,,,,
UGC01332,,,,,,,,,,253,VP17_sigma,VP17,,,,,,,,
UGC02783,,,,,,,,,,266,VP17_sigma,VP17,,,,,,,,
UGC03683,,,,,,,,,,257,VP17_sigma,VP17,,,,,,,,
UGC03894,,,,,,,,,,255,VP17_sigma,VP17,,,,,,,,
UGC10918,,,,,,,,,,249,VP17_sigma,VP17,,,,,,,,
